sample_id,strategy,strategy_label,reviewer_id,completeness_1_5,exception_coverage_1_5,dependency_rationality_1_5,code_usefulness_1_5,overall_1_5,comments
S01,plain_llm,纯 LLM,R1,,,,,,
S01,plain_llm,纯 LLM,R2,,,,,,
S01,plain_llm,纯 LLM,R3,,,,,,
S01,rule_template,LLM+规则模板,R1,,,,,,
S01,rule_template,LLM+规则模板,R2,,,,,,
S01,rule_template,LLM+规则模板,R3,,,,,,
S01,knowledge_enhanced,LLM+知识库增强,R1,,,,,,
S01,knowledge_enhanced,LLM+知识库增强,R2,,,,,,
S01,knowledge_enhanced,LLM+知识库增强,R3,,,,,,
S02,plain_llm,纯 LLM,R1,,,,,,
S02,plain_llm,纯 LLM,R2,,,,,,
S02,plain_llm,纯 LLM,R3,,,,,,
S02,rule_template,LLM+规则模板,R1,,,,,,
S02,rule_template,LLM+规则模板,R2,,,,,,
S02,rule_template,LLM+规则模板,R3,,,,,,
S02,knowledge_enhanced,LLM+知识库增强,R1,,,,,,
S02,knowledge_enhanced,LLM+知识库增强,R2,,,,,,
S02,knowledge_enhanced,LLM+知识库增强,R3,,,,,,
S03,plain_llm,纯 LLM,R1,,,,,,
S03,plain_llm,纯 LLM,R2,,,,,,
S03,plain_llm,纯 LLM,R3,,,,,,
S03,rule_template,LLM+规则模板,R1,,,,,,
S03,rule_template,LLM+规则模板,R2,,,,,,
S03,rule_template,LLM+规则模板,R3,,,,,,
S03,knowledge_enhanced,LLM+知识库增强,R1,,,,,,
S03,knowledge_enhanced,LLM+知识库增强,R2,,,,,,
S03,knowledge_enhanced,LLM+知识库增强,R3,,,,,,
S04,plain_llm,纯 LLM,R1,,,,,,
S04,plain_llm,纯 LLM,R2,,,,,,
S04,plain_llm,纯 LLM,R3,,,,,,
S04,rule_template,LLM+规则模板,R1,,,,,,
S04,rule_template,LLM+规则模板,R2,,,,,,
S04,rule_template,LLM+规则模板,R3,,,,,,
S04,knowledge_enhanced,LLM+知识库增强,R1,,,,,,
S04,knowledge_enhanced,LLM+知识库增强,R2,,,,,,
S04,knowledge_enhanced,LLM+知识库增强,R3,,,,,,
S05,plain_llm,纯 LLM,R1,,,,,,
S05,plain_llm,纯 LLM,R2,,,,,,
S05,plain_llm,纯 LLM,R3,,,,,,
S05,rule_template,LLM+规则模板,R1,,,,,,
S05,rule_template,LLM+规则模板,R2,,,,,,
S05,rule_template,LLM+规则模板,R3,,,,,,
S05,knowledge_enhanced,LLM+知识库增强,R1,,,,,,
S05,knowledge_enhanced,LLM+知识库增强,R2,,,,,,
S05,knowledge_enhanced,LLM+知识库增强,R3,,,,,,
S06,plain_llm,纯 LLM,R1,,,,,,
S06,plain_llm,纯 LLM,R2,,,,,,
S06,plain_llm,纯 LLM,R3,,,,,,
S06,rule_template,LLM+规则模板,R1,,,,,,
S06,rule_template,LLM+规则模板,R2,,,,,,
S06,rule_template,LLM+规则模板,R3,,,,,,
S06,knowledge_enhanced,LLM+知识库增强,R1,,,,,,
S06,knowledge_enhanced,LLM+知识库增强,R2,,,,,,
S06,knowledge_enhanced,LLM+知识库增强,R3,,,,,,
S07,plain_llm,纯 LLM,R1,,,,,,
S07,plain_llm,纯 LLM,R2,,,,,,
S07,plain_llm,纯 LLM,R3,,,,,,
S07,rule_template,LLM+规则模板,R1,,,,,,
S07,rule_template,LLM+规则模板,R2,,,,,,
S07,rule_template,LLM+规则模板,R3,,,,,,
S07,knowledge_enhanced,LLM+知识库增强,R1,,,,,,
S07,knowledge_enhanced,LLM+知识库增强,R2,,,,,,
S07,knowledge_enhanced,LLM+知识库增强,R3,,,,,,
S08,plain_llm,纯 LLM,R1,,,,,,
S08,plain_llm,纯 LLM,R2,,,,,,
S08,plain_llm,纯 LLM,R3,,,,,,
S08,rule_template,LLM+规则模板,R1,,,,,,
S08,rule_template,LLM+规则模板,R2,,,,,,
S08,rule_template,LLM+规则模板,R3,,,,,,
S08,knowledge_enhanced,LLM+知识库增强,R1,,,,,,
S08,knowledge_enhanced,LLM+知识库增强,R2,,,,,,
S08,knowledge_enhanced,LLM+知识库增强,R3,,,,,,
S09,plain_llm,纯 LLM,R1,,,,,,
S09,plain_llm,纯 LLM,R2,,,,,,
S09,plain_llm,纯 LLM,R3,,,,,,
S09,rule_template,LLM+规则模板,R1,,,,,,
S09,rule_template,LLM+规则模板,R2,,,,,,
S09,rule_template,LLM+规则模板,R3,,,,,,
S09,knowledge_enhanced,LLM+知识库增强,R1,,,,,,
S09,knowledge_enhanced,LLM+知识库增强,R2,,,,,,
S09,knowledge_enhanced,LLM+知识库增强,R3,,,,,,
S10,plain_llm,纯 LLM,R1,,,,,,
S10,plain_llm,纯 LLM,R2,,,,,,
S10,plain_llm,纯 LLM,R3,,,,,,
S10,rule_template,LLM+规则模板,R1,,,,,,
S10,rule_template,LLM+规则模板,R2,,,,,,
S10,rule_template,LLM+规则模板,R3,,,,,,
S10,knowledge_enhanced,LLM+知识库增强,R1,,,,,,
S10,knowledge_enhanced,LLM+知识库增强,R2,,,,,,
S10,knowledge_enhanced,LLM+知识库增强,R3,,,,,,
S11,plain_llm,纯 LLM,R1,,,,,,
S11,plain_llm,纯 LLM,R2,,,,,,
S11,plain_llm,纯 LLM,R3,,,,,,
S11,rule_template,LLM+规则模板,R1,,,,,,
S11,rule_template,LLM+规则模板,R2,,,,,,
S11,rule_template,LLM+规则模板,R3,,,,,,
S11,knowledge_enhanced,LLM+知识库增强,R1,,,,,,
S11,knowledge_enhanced,LLM+知识库增强,R2,,,,,,
S11,knowledge_enhanced,LLM+知识库增强,R3,,,,,,
S12,plain_llm,纯 LLM,R1,,,,,,
S12,plain_llm,纯 LLM,R2,,,,,,
S12,plain_llm,纯 LLM,R3,,,,,,
S12,rule_template,LLM+规则模板,R1,,,,,,
S12,rule_template,LLM+规则模板,R2,,,,,,
S12,rule_template,LLM+规则模板,R3,,,,,,
S12,knowledge_enhanced,LLM+知识库增强,R1,,,,,,
S12,knowledge_enhanced,LLM+知识库增强,R2,,,,,,
S12,knowledge_enhanced,LLM+知识库增强,R3,,,,,,
